dbo:artist,dbo:producer,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Agent,
dbo:producer,dbo:artist,dbo:Album,dbo:Album,dbo:Work,dbo:MusicalWork,dbo:Agent,dbo:Agent,
dbo:position,dbo:league,dbo:SoccerClub,dbo:SoccerClub,,,,dbo:SportsLeague,
dbo:league,dbo:position,dbo:SoccerClub,dbo:SoccerClub,,,dbo:SportsLeague,,
dbo:leader,dbo:leaderName,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,
dbo:leader,dbo:leaderName,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,
dbo:officialLanguage,dbo:language,dbo:Country,dbo:Country,dbo:PopulatedPlace,,dbo:Language,dbo:Language,
dbo:hometown,dbo:country,,dbo:Band,dbo:Agent,,dbo:Settlement,dbo:Country,
rdfs:seeAlso,dbo:country,owl:Thing,dbo:City,,,,dbo:Country,
dbo:distributor,dbo:producer,dbo:Film,,,dbo:Work,dbo:Organisation,dbo:Agent,
dbo:capital,dbo:capitalCountry,dbo:Country,dbo:Country,dbo:PopulatedPlace,dbo:Island,dbo:City,dbo:Country,
dbo:director,dbo:writer,dbo:Film,,dbo:Film,dbo:Work,dbo:Person,dbo:Person,
dbo:position,dbo:sportSpecialty,dbo:BasketballPlayer,dbo:BasketballPlayer,,dbo:Athlete,,dbo:Sport,
dbo:producer,dbo:director,dbo:Film,,dbo:Work,dbo:Film,dbo:Agent,dbo:Person,
dbo:director,dbo:producer,dbo:Film,,dbo:Film,dbo:Work,dbo:Person,dbo:Agent,
dbo:parent,dbo:predecessor,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,,dbo:Person,,
dbo:parent,dbo:predecessor,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,,dbo:Person,,
dbo:isPartOf,dbo:region,,dbo:AdministrativeRegion,,,,dbo:Place,
dbo:leader,dbo:leaderName,dbo:Country,dbo:Country,,dbo:PopulatedPlace,dbo:Person,dbo:Person,
dbo:birthPlace,dbo:hometown,,dbo:MusicalArtist,dbo:Person,dbo:Agent,dbo:Place,dbo:Settlement,
dbo:isPartOf,dbo:region,,dbo:City,,,,dbo:Place,
dbo:predecessor,dbo:parent,dbo:Royalty,dbo:BritishRoyalty,,dbo:Person,,dbo:Person,
dbo:successor,dbo:child,dbo:Royalty,dbo:BritishRoyalty,,dbo:Person,,dbo:Person,
dbo:relatedMeanOfTransportation,dbo:related,dbo:Automobile,dbo:Automobile,dbo:MeanOfTransportation,,dbo:MeanOfTransportation,,
dbo:musicalBand,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Single,dbo:Single,dbo:Band,dbo:MusicalArtist,
dbo:musicalArtist,dbo:musicalBand,dbo:Single,dbo:Single,dbo:Single,dbo:Single,dbo:MusicalArtist,dbo:Band,
dbo:isPartOf,dbo:region,,dbo:City,,,,dbo:Place,
