dbo:conservationStatus,dbo:status,,dbo:Bird,dbo:Species,,xsd:string,xsd:string
dbo:areaCode,dbo:vehicleCode,,dbo:Settlement,dbo:Place,dbo:Place,xsd:string,xsd:string
dbo:areaCode,dbo:vehicleCode,,dbo:Settlement,dbo:Place,dbo:Place,xsd:string,xsd:string
dbo:conservationStatus,dbo:status,,dbo:Mammal,dbo:Species,,xsd:string,xsd:string
dbo:municipalityCode,dbo:code,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:string,xsd:string
dbo:runtime,dbo:playingTime,dbo:Album,dbo:Album,dbo:Work,,xsd:double,xsd:double
dbo:runtime,dbo:playingTime,dbo:Single,dbo:Single,dbo:Work,,xsd:double,xsd:double
dbo:foundingYear,dbo:formationYear,,dbo:Company,,dbo:Organisation,xsd:gYear,xsd:gYear
dbo:gross,dbo:revenue,dbo:Film,dbo:Film,dbo:Film,dbo:Organisation,xsd:double,xsd:double
dbo:conservationStatus,dbo:status,,dbo:Fish,dbo:Species,,xsd:string,xsd:string
dbo:code,dbo:vehicleCode,,dbo:Settlement,,dbo:Place,xsd:string,xsd:string
dbo:dissolutionYear,dbo:foundingYear,,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear
dbo:foundingYear,dbo:dissolutionYear,,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear
dbo:productionStartYear,dbo:modelStartYear,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear
dbo:conservationStatus,dbo:status,,dbo:Species,dbo:Species,,xsd:string,xsd:string
dbo:conservationStatus,dbo:status,,dbo:Insect,dbo:Species,,xsd:string,xsd:string
dbo:conservationStatus,dbo:status,,dbo:Insect,dbo:Species,,xsd:string,xsd:string
dbo:birthDate,dbo:deathDate,dbo:Wrestler,dbo:Wrestler,dbo:Person,dbo:Person,xsd:date,xsd:date
dbo:careerPrizeMoney,dbo:gross,dbo:TennisPlayer,dbo:TennisPlayer,dbo:TennisPlayer,dbo:Film,xsd:double,xsd:double
dbo:dissolutionYear,dbo:foundingYear,dbo:Country,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear
dbo:foundingYear,dbo:dissolutionYear,dbo:Country,dbo:Country,dbo:Organisation,dbo:PopulatedPlace,xsd:gYear,xsd:gYear
dbo:casNumber,dbo:casSupplemental,dbo:Drug,dbo:Drug,,,xsd:string,xsd:string
dbo:productionEndYear,dbo:modelEndYear,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear
dbo:activeYearsEndYear,dbo:deathYear,dbo:Person,dbo:Actor,,dbo:Person,xsd:gYear,xsd:gYear
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Actor,dbo:Person,,xsd:gYear,xsd:gYear
dbo:runtime,dbo:playingTime,,dbo:Album,dbo:Work,,xsd:double,xsd:double
dbo:activeYearsStartYear,dbo:activeYearsEndYear,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear
dbo:conservationStatus,dbo:status,,dbo:Reptile,dbo:Species,,xsd:string,xsd:string
dbo:maximumDepth,dbo:depth,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:activeYearsEndYear,dbo:activeYearsStartYear,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear
dbo:activeYearsEndYear,dbo:activeYearsStartYear,,dbo:Band,,,xsd:gYear,xsd:gYear
dbo:birthDate,dbo:deathDate,dbo:Scientist,,dbo:Person,dbo:Person,xsd:date,xsd:date
dbo:synonym,dbo:scientificName,,dbo:Bird,,dbo:Species,xsd:string,xsd:string
dbo:activeYearsStartYear,dbo:activeYearsEndYear,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear
dbo:iso6392Code,dbo:iso6393Code,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string
dbo:iso6393Code,dbo:iso6392Code,dbo:Language,dbo:Language,dbo:Language,dbo:Language,xsd:string,xsd:string
dbo:runtime,dbo:playingTime,dbo:Song,dbo:Song,dbo:Work,,xsd:double,xsd:double
dbo:productionEndYear,dbo:modelStartYear,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear
dbo:maximumDepth,dbo:depth,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:activeYearsEndYear,dbo:deathYear,dbo:Person,dbo:Actor,,dbo:Person,xsd:gYear,xsd:gYear
dbo:activeYearsEndYear,dbo:activeYearsStartYear,dbo:Person,dbo:Actor,,,xsd:gYear,xsd:gYear
dbo:activeYearsEndYear,dbo:activeYearsStartYear,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear
dbo:averageDepth,dbo:depth,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:averageDepth,dbo:depth,dbo:Lake,dbo:Lake,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:fareZone,dbo:railwayPlatforms,,dbo:MetroStation,dbo:Station,dbo:Station,xsd:string,xsd:string
dbo:birthDate,dbo:deathDate,dbo:Wrestler,dbo:Wrestler,dbo:Person,dbo:Person,xsd:date,xsd:date
dbo:date,dbo:startDate,dbo:MilitaryConflict,dbo:MilitaryConflict,,dbo:Event,xsd:date,xsd:date
dbo:faaLocationIdentifier,dbo:iataLocationIdentifier,dbo:Airport,dbo:Airport,dbo:Airport,dbo:Infrastructure,xsd:string,xsd:string
dbo:railwayPlatforms,dbo:fareZone,,dbo:MetroStation,dbo:Station,dbo:Station,xsd:string,xsd:string
dbo:isoCodeRegion,dbo:isoCode,,dbo:Province,dbo:Settlement,dbo:Place,xsd:string,xsd:string
dbo:productionStartYear,dbo:modelEndYear,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear
dbo:uciCode,dbo:code,dbo:CyclingTeam,dbo:CyclingTeam,dbo:CyclingTeam,,xsd:string,xsd:string
dbo:foundingYear,dbo:formationYear,,dbo:Company,,dbo:Organisation,xsd:gYear,xsd:gYear
dbo:serviceEndYear,dbo:serviceStartYear,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,xsd:gYear,xsd:gYear
dbo:runtime,dbo:playingTime,,dbo:Single,dbo:Work,,xsd:double,xsd:double
dbo:height,dbo:goalsInLeague,,dbo:SoccerPlayer,,dbo:SoccerPlayer,xsd:double,xsd:nonNegativeInteger
dbo:extinctionYear,dbo:activeYearsEndYear,,dbo:Company,dbo:Species,,xsd:gYear,xsd:gYear
dbo:postalCode,dbo:inseeCode,dbo:Settlement,dbo:Municipality,,dbo:Settlement,xsd:string,xsd:string
dbo:conservationStatus,dbo:status,,dbo:Insect,dbo:Species,,xsd:string,xsd:string
dbo:inseeCode,dbo:postalCode,dbo:Settlement,dbo:Municipality,dbo:Settlement,,xsd:string,xsd:string
dbo:minimumElevation,dbo:elevation,dbo:Settlement,dbo:Municipality,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:activeYearsEndYear,dbo:deathYear,dbo:Writer,dbo:Writer,,dbo:Person,xsd:gYear,xsd:gYear
dbo:minimumElevation,dbo:populationTotal,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:MusicalArtist,dbo:Person,,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear
dbo:synonym,dbo:scientificName,,dbo:Mammal,,dbo:Species,xsd:string,xsd:string
dbo:activeYearsEndYear,dbo:deathYear,dbo:Person,dbo:Person,,dbo:Person,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Band,,,xsd:gYear,xsd:gYear
dbo:openingYear,dbo:buildingStartYear,dbo:Bridge,dbo:Bridge,,dbo:ArchitecturalStructure,xsd:gYear,xsd:gYear
