dbo:region,dbo:department,dbo:AdministrativeRegion,dbo:Settlement,,dbo:PopulatedPlace,dbo:Place,dbo:PopulatedPlace,
dbo:birthPlace,dbo:nationalTeam,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Athlete,dbo:Place,dbo:SportsTeam,
dbo:team,dbo:club,dbo:Athlete,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:team,dbo:position,dbo:Athlete,dbo:SoccerPlayer,,,dbo:SportsTeam,,
dbo:starring,dbo:director,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Actor,dbo:Person,
dbo:nationality,dbo:birthPlace,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:nationality,dbo:birthPlace,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:starring,dbo:musicComposer,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Actor,dbo:MusicalArtist,
dbo:team,dbo:nationalTeam,dbo:Athlete,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:director,dbo:starring,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Actor,
dbo:nationality,dbo:nationalTeam,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Athlete,dbo:Country,dbo:SportsTeam,
dbo:starring,dbo:writer,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Actor,dbo:Person,
dbo:starring,dbo:producer,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Actor,dbo:Agent,
dbo:starring,dbo:cinematography,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Actor,dbo:Person,
dbo:director,dbo:musicComposer,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:MusicalArtist,
dbo:team,dbo:youthClub,dbo:Athlete,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:writer,dbo:starring,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Person,dbo:Actor,
dbo:director,dbo:cinematography,dbo:Film,dbo:Film,dbo:Film,dbo:Film,dbo:Person,dbo:Person,
